#{"t_start": 1766737065.6382568, "env_id": "None"}
r,l,t
37017.387,1000,2.890388
42333.027,1000,2.890438
38335.875,1000,2.890445
37362.004,1000,2.890451
40583.86,1000,2.890455
36220.31,1000,2.890457
38463.344,1000,2.89046
38833.938,1000,2.890465
37670.65,1000,2.890468
41425.977,1000,2.890471
37626.66,1000,2.890473
35059.684,1000,2.890476
43800.574,1000,2.890479
37193.82,1000,2.890484
42537.426,1000,2.890486
34858.035,1000,2.890489
38172.668,1000,5.071114
42887.695,1000,5.071159
37803.633,1000,5.071165
38640.164,1000,5.071169
46251.664,1000,5.071172
35255.47,1000,5.071175
39481.12,1000,5.071178
37107.13,1000,5.071181
37080.88,1000,5.071183
41241.363,1000,5.071187
40868.24,1000,5.07119
36078.242,1000,5.071193
35532.527,1000,5.071196
36984.43,1000,5.071207
40437.59,1000,5.07121
38618.484,1000,5.071212
44234.81,1000,8.013404
42395.14,1000,8.013447
36476.793,1000,8.013453
36706.777,1000,8.013457
37753.273,1000,8.01346
39781.625,1000,8.013463
43632.957,1000,8.013466
40081.312,1000,8.013469
45850.41,1000,8.013472
39417.914,1000,8.013475
42573.086,1000,8.013478
40336.402,1000,8.013481
39701.547,1000,8.013483
39164.152,1000,8.013486
35014.938,1000,8.013489
40748.535,1000,8.013492
39910.56,1000,10.202983
41904.887,1000,10.203023
40164.36,1000,10.203029
38399.48,1000,10.203032
35837.285,1000,10.203035
42500.695,1000,10.203038
38049.96,1000,10.203041
42649.17,1000,10.203043
36803.742,1000,10.203046
42090.887,1000,10.203049
43674.562,1000,10.203052
44511.39,1000,10.203055
39952.89,1000,10.203058
41304.348,1000,10.203061
37300.62,1000,10.203063
42144.105,1000,10.203067
43829.21,1000,12.976799
41171.934,1000,12.976841
44507.14,1000,12.976848
45938.59,1000,12.976851
43578.668,1000,12.976854
40802.445,1000,12.976857
66144.586,1000,12.97686
43668.47,1000,12.976863
39891.18,1000,12.976866
38794.16,1000,12.976868
45299.67,1000,12.976871
49840.29,1000,12.976874
45072.957,1000,12.976877
47173.277,1000,12.97688
41564.41,1000,12.976882
47029.824,1000,12.976885
39023.47,1000,15.131972
40038.152,1000,15.132094
44904.27,1000,15.132103
48259.42,1000,15.132107
45992.53,1000,15.132111
42200.945,1000,15.132114
44682.945,1000,15.13212
41799.03,1000,15.132123
46523.496,1000,15.132126
46698.46,1000,15.13213
43212.523,1000,15.132133
39923.94,1000,15.132136
55890.617,1000,15.132139
46952.14,1000,15.132142
46500.01,1000,15.132145
46173.348,1000,15.132148
47702.086,1000,17.856552
45683.74,1000,17.856612
54264.793,1000,17.856619
50148.055,1000,17.856625
43600.688,1000,17.856629
47347.707,1000,17.856633
49611.14,1000,17.856637
50415.617,1000,17.856642
46657.977,1000,17.856646
45843.348,1000,17.85665
45841.363,1000,17.856654
44433.32,1000,17.856658
47961.57,1000,17.856674
45114.844,1000,17.856678
49487.77,1000,17.856681
49364.48,1000,17.856685
43339.832,1000,20.02213
47384.42,1000,20.022175
54170.258,1000,20.022181
47900.418,1000,20.022184
44626.05,1000,20.022187
49026.027,1000,20.02219
42983.016,1000,20.022193
51291.824,1000,20.022196
45077.965,1000,20.022199
50693.273,1000,20.022202
46671.324,1000,20.022205
49940.04,1000,20.022208
47347.51,1000,20.022211
49522.625,1000,20.022214
47895.797,1000,20.022217
53466.23,1000,20.02222
50967.914,1000,22.47224
55331.203,1000,22.472281
55943.156,1000,22.472287
57295.29,1000,22.472291
47728.72,1000,22.472295
48843.25,1000,22.472297
48216.008,1000,22.4723
57551.07,1000,22.472303
56968.043,1000,22.472306
52664.09,1000,22.472309
56073.777,1000,22.472311
58121.496,1000,22.472314
54764.984,1000,22.472317
49455.176,1000,22.47232
51033.04,1000,22.472323
48259.453,1000,22.472326
52037.62,1000,24.334551
46945.074,1000,24.334589
49715.977,1000,24.334595
43756.67,1000,24.334598
50959.68,1000,24.334601
50978.3,1000,24.334604
46227.535,1000,24.334606
54606.652,1000,24.334609
48577.156,1000,24.334612
56878.992,1000,24.334615
54447.26,1000,24.334618
50302.92,1000,24.334621
46900.156,1000,24.334624
50657.7,1000,24.334626
50283.75,1000,24.334629
48337.598,1000,24.334632
66102.16,1000,26.677591
52203.41,1000,26.677636
64707.523,1000,26.677641
48940.86,1000,26.677645
55295.11,1000,26.677647
76137.52,1000,26.67765
65175.688,1000,26.677653
53450.54,1000,26.677656
58676.633,1000,26.677659
60280.246,1000,26.677661
52708.633,1000,26.677664
58870.477,1000,26.677666
60877.043,1000,26.677669
59759.613,1000,26.677671
64254.355,1000,26.677674
57408.312,1000,26.677677
59663.543,1000,28.455205
59216.836,1000,28.455236
51571.87,1000,28.455242
59939.98,1000,28.455245
72180.31,1000,28.455247
62754.473,1000,28.45525
66063.71,1000,28.455253
54015.805,1000,28.455256
63994.645,1000,28.455258
53297.75,1000,28.455261
77286.18,1000,28.455263
49387.305,1000,28.455266
61577.24,1000,28.455268
57914.484,1000,28.455271
60182.02,1000,28.455273
67735.086,1000,28.455275
83910.56,1000,30.67481
59578.08,1000,30.674848
67547.25,1000,30.674854
53612.19,1000,30.674858
57338.977,1000,30.674861
63108.953,1000,30.674864
71312.17,1000,30.674866
72815.12,1000,30.674869
57733.9,1000,30.674872
63809.707,1000,30.674875
56954.24,1000,30.674878
75784.85,1000,30.67488
54615.586,1000,30.674883
64247.746,1000,30.674886
61500.56,1000,30.674888
49248.445,1000,30.674891
69512.164,1000,32.491959
80713.586,1000,32.491998
70423.25,1000,32.492004
70393.08,1000,32.492007
61476.086,1000,32.49201
71547.086,1000,32.492013
60227.305,1000,32.492017
69893.24,1000,32.49202
62999.668,1000,32.492023
73774.086,1000,32.492026
62726.39,1000,32.492029
54734.324,1000,32.492032
61476.613,1000,32.492034
58286.445,1000,32.492037
71227.19,1000,32.49204
67816.375,1000,32.492043
69743.13,1000,34.731111
82201.38,1000,34.731152
74315.58,1000,34.731158
82751.31,1000,34.731161
87160.86,1000,34.731164
71987.734,1000,34.731167
79888.82,1000,34.73117
67987.95,1000,34.731174
76215.54,1000,34.731176
89026.38,1000,34.731179
